Split,Model,Metric,Value
Full Test,BPMF,rmse,0.901
Full Test,BPMF,mae,0.7017
Full Test,BPMF,ndcg@10,0.8666
Full Test,BPMF,ece,0.0172
Full Test,BPMF,mean_uncertainty,0.9145
Full Test,SVD,rmse,0.9229
Full Test,SVD,mae,0.7159
Full Test,SVD,ndcg@10,0.8605
Low-History Users,BPMF,rmse,0.9693
Low-History Users,BPMF,mae,0.763
Low-History Users,BPMF,ndcg@10,0.9279
Low-History Users,BPMF,ece,0.0413
Low-History Users,BPMF,mean_uncertainty,1.0944
Low-History Users,SVD,rmse,1.0662
Low-History Users,SVD,mae,0.8233
Low-History Users,SVD,ndcg@10,0.9254
High-History Users,BPMF,rmse,0.9004
High-History Users,BPMF,mae,0.7012
High-History Users,BPMF,ndcg@10,0.8621
High-History Users,BPMF,ece,0.017
High-History Users,BPMF,mean_uncertainty,0.9129
High-History Users,SVD,rmse,0.9215
High-History Users,SVD,mae,0.7149
High-History Users,SVD,ndcg@10,0.8557
